TableS4. Integrated SFTSV sequences for Strains annottated for all the three segments information,,,,,,,,,,,,,,,,,,
accession_L,length_L,collection_date_L,host_L,strain,country_original_L,segment_L,accession_M,length_M,collection_date_M,host_M,country_original_M,segment_M,accession_S,length,collection_date,host,country_original,segment
MF094803,6391,1/1/2015,Homo sapiens,KS7,South Korea,L,MF094809,3385,1/1/2015,Homo sapiens,South Korea,M,MF094815,1740,42005,Homo sapiens,South Korea,S
MF094806,6388,1/1/2015,Homo sapiens,MS39,South Korea,L,MF094812,3396,1/1/2015,Homo sapiens,South Korea,M,MF094818,1751,42005,Homo sapiens,South Korea,S
MF094804,6387,1/1/2015,Homo sapiens,Asan,South Korea,L,MF094810,3395,1/1/2015,Homo sapiens,South Korea,M,MF094816,1756,42005,Homo sapiens,South Korea,S
MZ561692,6387,6/12/2018,Homo sapiens,ZJ2018-01,China,L,MZ561691,3378,6/12/2018,Homo sapiens,China,M,MZ561690,1765,43263,Homo sapiens,China,S
MT320814,6386,5/13/2017,Homo sapiens,HBHG8,"China: Hubei, Huanggang",L,MT320815,3378,5/13/2017,Homo sapiens,"China: Hubei, Huanggang",M,MT320816,1744,42868,Homo sapiens,"China: Hubei, Huanggang",S
MF094805,6386,1/1/2015,Homo sapiens,KS13,South Korea,L,MF094811,3396,1/1/2015,Homo sapiens,South Korea,M,MF094817,1752,42005,Homo sapiens,South Korea,S
MF094808,6386,1/1/2015,Homo sapiens,KS17,South Korea,L,MF094814,3395,1/1/2015,Homo sapiens,South Korea,M,MF094820,1753,42005,Homo sapiens,South Korea,S
MF094807,6384,1/1/2015,Homo sapiens,KS11,South Korea,L,MF094813,3396,1/1/2015,Homo sapiens,South Korea,M,MF094819,1755,42005,Homo sapiens,South Korea,S
MT309099,6375,11/30/2014,Homo sapiens,LNDLChina2014-49,China,L,MT309102,3384,11/30/2014,Homo sapiens,China,M,MT309105,1726,41973,Homo sapiens,China,S
MT309100,6374,11/30/2014,Homo sapiens,LNDLChina2014-50,China,L,MT309103,3370,11/30/2014,Homo sapiens,China,M,MT309106,1725,41973,Homo sapiens,China,S
